Position,Number,Name,Height,Weight,DOB,From,Team,Division,Conference
G,0,"Bradley, Avery",6 ft 2 in (1.88 m),180 lb (82 kg),1990-11-26,Texas,Boston Celtics,Atlantic,Eastern
F,7,"Brown, Jaylen",6 ft 7 in (2.01 m),225 lb (102 kg),1996-10-24,UC Berkeley,Boston Celtics,Atlantic,Eastern
F,99,"Crowder, Jae",6 ft 6 in (1.98 m),235 lb (107 kg),1990-07-06,Marquette,Boston Celtics,Atlantic,Eastern
G/F,30,"Green, Gerald",6 ft 7 in (2.01 m),205 lb (93 kg),1986-01-26,Gulf Shores Academy HS (TX),Boston Celtics,Atlantic,Eastern
C,42,"Horford, Al",6 ft 10 in (2.08 m),245 lb (111 kg),1986-06-03,Florida,Boston Celtics,Atlantic,Eastern
G,9,"Jackson, Demetrius (DL)",6 ft 1 in (1.85 m),201 lb (91 kg),1994-09-07,Notre Dame,Boston Celtics,Atlantic,Eastern
F,8,"Jerebko, Jonas",6 ft 10 in (2.08 m),231 lb (105 kg),1987-03-02,Sweden,Boston Celtics,Atlantic,Eastern
F,90,"Johnson, Amir",6 ft 9 in (2.06 m),240 lb (109 kg),1987-05-01,Westchester HS (CA),Boston Celtics,Atlantic,Eastern
F,55,"Mickey, Jordan (DL)",6 ft 8 in (2.03 m),235 lb (107 kg),1994-07-09,LSU,Boston Celtics,Atlantic,Eastern
C,41,"Olynyk, Kelly",7 ft 0 in (2.13 m),238 lb (108 kg),1991-04-19,Gonzaga,Boston Celtics,Atlantic,Eastern
G,12,"Rozier, Terry",6 ft 2 in (1.88 m),190 lb (86 kg),1994-03-17,Louisville,Boston Celtics,Atlantic,Eastern
G,36,"Smart, Marcus",6 ft 4 in (1.93 m),220 lb (100 kg),1994-03-06,Oklahoma State,Boston Celtics,Atlantic,Eastern
G,4,"Thomas, Isaiah",5 ft 9 in (1.75 m),185 lb (84 kg),1989-02-07,Washington,Boston Celtics,Atlantic,Eastern
G,13,"Young, James",6 ft 6 in (1.98 m),215 lb (98 kg),1995-08-16,Kentucky,Boston Celtics,Atlantic,Eastern
C,44,"Zeller, Tyler",7 ft 0 in (2.13 m),253 lb (115 kg),1990-01-17,North Carolina,Boston Celtics,Atlantic,Eastern
F,13,"Acy, Quincy",6 ft 7 in (2.01 m),240 lb (109 kg),1990-10-06,Baylor,Brooklyn Nets,Atlantic,Eastern
G/F,44,"Bogdanović, Bojan",6 ft 8 in (2.03 m),225 lb (102 kg),1989-04-18,Croatia,Brooklyn Nets,Atlantic,Eastern
F,35,"Booker, Trevor",6 ft 8 in (2.03 m),228 lb (103 kg),1987-11-25,Clemson,Brooklyn Nets,Atlantic,Eastern
G,8,"Dinwiddie, Spencer",6 ft 6 in (1.98 m),200 lb (91 kg),1993-04-06,Colorado,Brooklyn Nets,Atlantic,Eastern
G,2,"Foye, Randy",6 ft 4 in (1.93 m),218 lb (99 kg),1983-09-24,Villanova,Brooklyn Nets,Atlantic,Eastern
C,41,"Hamilton, Justin",7 ft 0 in (2.13 m),255 lb (116 kg),1990-04-01,LSU,Brooklyn Nets,Atlantic,Eastern
G,12,"Harris, Joe",6 ft 6 in (1.98 m),219 lb (99 kg),1991-09-07,Virginia,Brooklyn Nets,Atlantic,Eastern
F,24,"Hollis-Jefferson, Rondae",6 ft 7 in (2.01 m),214 lb (97 kg),1995-01-03,Arizona,Brooklyn Nets,Atlantic,Eastern
G,6,"Kilpatrick, Sean",6 ft 4 in (1.93 m),219 lb (99 kg),1990-01-06,Cincinnati,Brooklyn Nets,Atlantic,Eastern
G,22,"LeVert, Caris",6 ft 7 in (2.01 m),203 lb (92 kg),1994-08-25,Michigan,Brooklyn Nets,Atlantic,Eastern
G,7,"Lin, Jeremy",6 ft 3 in (1.91 m),200 lb (91 kg),1988-08-23,Harvard,Brooklyn Nets,Atlantic,Eastern
C,11,"Lopez, Brook (C)",7 ft 0 in (2.13 m),268 lb (122 kg),1988-04-01,Stanford,Brooklyn Nets,Atlantic,Eastern
F,1,"McCullough, Chris (DL)",6 ft 9 in (2.06 m),215 lb (98 kg),1995-02-05,Syracuse,Brooklyn Nets,Atlantic,Eastern
F,4,"Scola, Luis",6 ft 9 in (2.06 m),241 lb (109 kg),1980-04-30,Argentina,Brooklyn Nets,Atlantic,Eastern
G,15,"Whitehead, Isaiah",6 ft 5 in (1.96 m),213 lb (97 kg),1995-03-08,Seton Hall,Brooklyn Nets,Atlantic,Eastern
F,7,"Anthony, Carmelo (C)",6 ft 8 in (2.03 m),240 lb (109 kg),1984-05-29,Syracuse,New York Nicks,Atlantic,Eastern
G,31,"Baker, Ron",6 ft 4 in (1.93 m),220 lb (100 kg),1993-03-30,Wichita State,New York Nicks,Atlantic,Eastern
C,14,"Hernangómez, Willy",6 ft 11 in (2.11 m),240 lb (109 kg),1994-05-27,Spain,New York Nicks,Atlantic,Eastern
G/F,8,"Holiday, Justin",6 ft 6 in (1.98 m),185 lb (84 kg),1989-04-05,Washington,New York Nicks,Atlantic,Eastern
G,3,"Jennings, Brandon",6 ft 1 in (1.85 m),170 lb (77 kg),1989-09-23,Oak Hill Academy (VA),New York Nicks,Atlantic,Eastern
F,91,"Kuzminskas, Mindaugas",6 ft 9 in (2.06 m),215 lb (98 kg),1989-10-19,Lithuania,New York Nicks,Atlantic,Eastern
G,5,"Lee, Courtney",6 ft 5 in (1.96 m),200 lb (91 kg),1985-10-03,Western Kentucky,New York Nicks,Atlantic,Eastern
F,2,"Ndour, Maurice",6 ft 9 in (2.06 m),200 lb (91 kg),1992-06-18,Ohio,New York Nicks,Atlantic,Eastern
C,13,"Noah, Joakim",6 ft 11 in (2.11 m),230 lb (104 kg),1985-02-25,Florida,New York Nicks,Atlantic,Eastern
F/C,9,"O'Quinn, Kyle",6 ft 10 in (2.08 m),250 lb (113 kg),1990-03-26,Norfolk State,New York Nicks,Atlantic,Eastern
C,40,"Plumlee, Marshall",7 ft 0 in (2.13 m),250 lb (113 kg),1992-06-14,Duke,New York Nicks,Atlantic,Eastern
F/C,6,"Porziņģis, Kristaps",7 ft 3 in (2.21 m),240 lb (109 kg),1995-08-02,Latvia,New York Nicks,Atlantic,Eastern
G,25,"Rose, Derrick",6 ft 3 in (1.91 m),190 lb (86 kg),1988-10-04,Memphis,New York Nicks,Atlantic,Eastern
F,42,"Thomas, Lance",6 ft 8 in (2.03 m),235 lb (107 kg),1988-04-24,Duke,New York Nicks,Atlantic,Eastern
G,18,"Vujačić, Sasha",6 ft 7 in (2.01 m),195 lb (88 kg),1984-03-08,Slovenia,New York Nicks,Atlantic,Eastern
G,0,"Bayless, Jerryd",6 ft 3 in (1.91 m),200 lb (91 kg),1988-08-20,Arizona,Philadelphia 76ers,Atlantic,Eastern
F,33,"Covington, Robert",6 ft 9 in (2.06 m),215 lb (98 kg),1990-12-14,Tennessee State,Philadelphia 76ers,Atlantic,Eastern
C,21,"Embiid, Joel  (C)",7 ft 2 in (2.18 m),250 lb (113 kg),1994-03-16,Kansas,Philadelphia 76ers,Atlantic,Eastern
G,12,"Henderson, Gerald",6 ft 5 in (1.96 m),215 lb (98 kg),1987-12-09,Duke,Philadelphia 76ers,Atlantic,Eastern
F,22,"Holmes, Richaun",6 ft 10 in (2.08 m),245 lb (111 kg),1993-10-15,Bowling Green,Philadelphia 76ers,Atlantic,Eastern
F,7,"İlyasova, Ersan",6 ft 10 in (2.08 m),235 lb (107 kg),1987-05-15,Turkey,Philadelphia 76ers,Atlantic,Eastern
G/F,20,"Luwawu-Cabarrot, Timothé",6 ft 6 in (1.98 m),205 lb (93 kg),1995-05-09,France,Philadelphia 76ers,Atlantic,Eastern
G,1,"McConnell, T. J.",6 ft 2 in (1.88 m),200 lb (91 kg),1992-03-25,Arizona,Philadelphia 76ers,Atlantic,Eastern
F/C,4,"Noel, Nerlens",6 ft 11 in (2.11 m),228 lb (103 kg),1994-04-10,Kentucky,Philadelphia 76ers,Atlantic,Eastern
C,8,"Okafor, Jahlil",6 ft 11 in (2.11 m),275 lb (125 kg),1995-12-15,Duke,Philadelphia 76ers,Atlantic,Eastern
G,5,"Randle, Chasson",6 ft 2 in (1.88 m),185 lb (84 kg),1993-02-05,Stanford,Philadelphia 76ers,Atlantic,Eastern
G,14,"Rodríguez, Sergio",6 ft 3 in (1.91 m),176 lb (80 kg),1986-06-12,Spain,Philadelphia 76ers,Atlantic,Eastern
F,9,"Šarić, Dario",6 ft 10 in (2.08 m),223 lb (101 kg),1994-04-08,Croatia,Philadelphia 76ers,Atlantic,Eastern
F,25,"Simmons, Ben",6 ft 10 in (2.08 m),240 lb (109 kg),1996-07-20,LSU,Philadelphia 76ers,Atlantic,Eastern
G,11,"Stauskas, Nik",6 ft 6 in (1.98 m),205 lb (93 kg),1993-10-07,Michigan,Philadelphia 76ers,Atlantic,Eastern
F,20,"Caboclo, Bruno (DL)",6 ft 9 in (2.06 m),205 lb (93 kg),1995-09-21,Brazil,Toronto Raptors,Atlantic,Eastern
F,5,"Carroll, DeMarre",6 ft 8 in (2.03 m),212 lb (96 kg),1986-07-27,Missouri,Toronto Raptors,Atlantic,Eastern
G,10,"DeRozan, DeMar (C)",6 ft 7 in (2.01 m),220 lb (100 kg),1989-08-07,Southern California,Toronto Raptors,Atlantic,Eastern
G,6,"Joseph, Cory",6 ft 3 in (1.91 m),190 lb (86 kg),1991-08-20,Texas,Toronto Raptors,Atlantic,Eastern
G,7,"Lowry, Kyle (C)",6 ft 0 in (1.83 m),205 lb (93 kg),1986-03-25,Villanova,Toronto Raptors,Atlantic,Eastern
C,92,"Nogueira, Lucas",7 ft 0 in (2.13 m),220 lb (100 kg),1992-07-26,Brazil,Toronto Raptors,Atlantic,Eastern
F/C,54,"Patterson, Patrick",6 ft 9 in (2.06 m),235 lb (107 kg),1989-03-14,Kentucky,Toronto Raptors,Atlantic,Eastern
F/C,42,"Pöltl, Jakob",7 ft 0 in (2.13 m),230 lb (104 kg),1995-10-15,Utah,Toronto Raptors,Atlantic,Eastern
G,24,"Powell, Norman",6 ft 4 in (1.93 m),215 lb (98 kg),1993-05-25,UCLA,Toronto Raptors,Atlantic,Eastern
G/F,31,"Ross, Terrence",6 ft 7 in (2.01 m),195 lb (88 kg),1991-02-05,Washington,Toronto Raptors,Atlantic,Eastern
F,43,"Siakam, Pascal",6 ft 9 in (2.06 m),230 lb (104 kg),1994-02-04,New Mexico State,Toronto Raptors,Atlantic,Eastern
F,0,"Sullinger, Jared",6 ft 9 in (2.06 m),260 lb (118 kg),1992-03-04,Ohio State,Toronto Raptors,Atlantic,Eastern
C,17,"Valančiūnas, Jonas",7 ft 0 in (2.13 m),255 lb (116 kg),1992-05-06,Lithuania,Toronto Raptors,Atlantic,Eastern
G,23,"VanVleet, Fred",6 ft 0 in (1.83 m),195 lb (88 kg),1994-02-25,Wichita State,Toronto Raptors,Atlantic,Eastern
G,55,"Wright, Delon",6 ft 5 in (1.96 m),190 lb (86 kg),1992-04-26,Utah,Toronto Raptors,Atlantic,Eastern
G/F,21,"Butler, Jimmy  (C)",6 ft 7 in (2.01 m),231 lb (105 kg),1989-09-14,Marquette,Chicago Bulls,Central,Eastern
G,0,"Canaan, Isaiah",6 ft 0 in (1.83 m),201 lb (91 kg),1991-05-21,Murray State,Chicago Bulls,Central,Eastern
G,7,"Carter-Williams, Michael",6 ft 6 in (1.98 m),190 lb (86 kg),1991-10-10,Syracuse,Chicago Bulls,Central,Eastern
C,6,"Felício, Cristiano",6 ft 9 in (2.06 m),266 lb (121 kg),1992-07-07,CCSE Prep (CA),Chicago Bulls,Central,Eastern
F,22,"Gibson, Taj",6 ft 9 in (2.06 m),236 lb (107 kg),1985-06-24,Southern California,Chicago Bulls,Central,Eastern
G,2,"Grant, Jerian",6 ft 4 in (1.93 m),198 lb (90 kg),1992-10-09,Notre Dame,Chicago Bulls,Central,Eastern
C,8,"Lopez, Robin",7 ft 0 in (2.13 m),255 lb (116 kg),1988-04-01,Stanford,Chicago Bulls,Central,Eastern
F,11,"McDermott, Doug",6 ft 8 in (2.03 m),219 lb (99 kg),1992-01-03,Creighton,Chicago Bulls,Central,Eastern
F,44,"Mirotić, Nikola",6 ft 10 in (2.08 m),238 lb (108 kg),1991-02-11,Spain,Chicago Bulls,Central,Eastern
F,5,"Portis, Bobby",6 ft 11 in (2.11 m),246 lb (112 kg),1995-02-10,Arkansas,Chicago Bulls,Central,Eastern
G,9,"Rondo, Rajon",6 ft 1 in (1.85 m),186 lb (84 kg),1986-02-22,Kentucky,Chicago Bulls,Central,Eastern
G,45,"Valentine, Denzel",6 ft 5 in (1.96 m),212 lb (96 kg),1993-11-16,Michigan State,Chicago Bulls,Central,Eastern
G,3,"Wade, Dwyane  (C)",6 ft 4 in (1.93 m),220 lb (100 kg),1982-01-17,Marquette,Chicago Bulls,Central,Eastern
G/F,16,"Zipser, Paul",6 ft 8 in (2.03 m),210 lb (95 kg),1994-02-18,Germany,Chicago Bulls,Central,Eastern
C,0,"Andersen, Chris",6 ft 10 in (2.08 m),245 lb (111 kg),1978-07-07,Blinn,Cleaveland Cavaliers,Central,Eastern
G,20,"Felder, Kay",5 ft 9 in (1.75 m),176 lb (80 kg),1995-03-29,Oakland,Cleaveland Cavaliers,Central,Eastern
F/C,8,"Frye, Channing",6 ft 11 in (2.11 m),255 lb (116 kg),1983-05-17,Arizona,Cleaveland Cavaliers,Central,Eastern
G,2,"Irving, Kyrie (C)",6 ft 3 in (1.91 m),193 lb (88 kg),1992-03-23,Duke,Cleaveland Cavaliers,Central,Eastern
F,23,"James, LeBron (C)",6 ft 8 in (2.03 m),250 lb (113 kg),1984-12-30,St. Vincent-St. Mary HS (OH),Cleaveland Cavaliers,Central,Eastern
F,24,"Jefferson, Richard",6 ft 7 in (2.01 m),233 lb (106 kg),1980-06-21,Arizona,Cleaveland Cavaliers,Central,Eastern
G/F,1,"Jones, James",6 ft 8 in (2.03 m),218 lb (99 kg),1980-10-04,Miami (FL),Cleaveland Cavaliers,Central,Eastern
G/F,26,"Korver, Kyle",6 ft 7 in (2.01 m),212 lb (96 kg),1981-03-17,Creighton,Cleaveland Cavaliers,Central,Eastern
G,14,"Liggins, DeAndre",6 ft 6 in (1.98 m),209 lb (95 kg),1988-03-31,Kentucky,Cleaveland Cavaliers,Central,Eastern
F/C,0,"Love, Kevin (C)",6 ft 10 in (2.08 m),251 lb (114 kg),1988-09-07,UCLA,Cleaveland Cavaliers,Central,Eastern
G,12,"McRae, Jordan",6 ft 5 in (1.96 m),179 lb (81 kg),1991-03-28,Tennessee,Cleaveland Cavaliers,Central,Eastern
G,4,"Shumpert, Iman",6 ft 5 in (1.96 m),220 lb (100 kg),1990-06-26,Georgia Tech,Cleaveland Cavaliers,Central,Eastern
G,5,"Smith, J. R.",6 ft 6 in (1.98 m),225 lb (102 kg),1985-09-09,Saint Benedict's Preparatory (NJ),Cleaveland Cavaliers,Central,Eastern
F/C,13,"Thompson, Tristan",6 ft 9 in (2.06 m),238 lb (108 kg),1991-03-13,Texas,Cleaveland Cavaliers,Central,Eastern
F/C,12,"Baynes, Aron",6 ft 10 in (2.08 m),260 lb (118 kg),1986-12-09,Washington State,Detroit Pistons,Central,Eastern
F,25,"Bullock, Reggie",6 ft 7 in (2.01 m),205 lb (93 kg),1991-03-16,North Carolina,Detroit Pistons,Central,Eastern
G,5,"Caldwell-Pope, Kentavious",6 ft 5 in (1.96 m),205 lb (93 kg),1993-02-18,Georgia,Detroit Pistons,Central,Eastern
C,0,"Drummond, Andre",6 ft 11 in (2.11 m),279 lb (127 kg),1993-08-10,Connecticut,Detroit Pistons,Central,Eastern
F,8,"Ellenson, Henry",6 ft 11 in (2.11 m),245 lb (111 kg),1997-01-13,Marquette,Detroit Pistons,Central,Eastern
G/F,9,"Gbinije, Michael",6 ft 7 in (2.01 m),200 lb (91 kg),1992-06-05,Syracuse,Detroit Pistons,Central,Eastern
F,34,"Harris, Tobias",6 ft 9 in (2.06 m),235 lb (107 kg),1992-07-15,Tennessee,Detroit Pistons,Central,Eastern
G/F,6,"Hilliard, Darrun",6 ft 6 in (1.98 m),205 lb (93 kg),1993-04-13,Villanova,Detroit Pistons,Central,Eastern
G,1,"Jackson, Reggie",6 ft 3 in (1.91 m),208 lb (94 kg),1990-04-16,Boston College,Detroit Pistons,Central,Eastern
F,7,"Johnson, Stanley",6 ft 7 in (2.01 m),245 lb (111 kg),1996-05-29,Arizona,Detroit Pistons,Central,Eastern
F,30,"Leuer, Jon",6 ft 10 in (2.08 m),228 lb (103 kg),1989-05-14,Wisconsin,Detroit Pistons,Central,Eastern
C,51,"Marjanović, Boban",7 ft 3 in (2.21 m),290 lb (132 kg),1988-08-15,Serbia,Detroit Pistons,Central,Eastern
F,13,"Morris, Marcus",6 ft 9 in (2.06 m),235 lb (107 kg),1989-09-02,Kansas,Detroit Pistons,Central,Eastern
G,14,"Smith, Ish",6 ft 0 in (1.83 m),175 lb (79 kg),1988-07-05,Wake Forest,Detroit Pistons,Central,Eastern
G,19,"Udrih, Beno",6 ft 3 in (1.91 m),205 lb (93 kg),1982-07-05,Slovenia,Detroit Pistons,Central,Eastern
F,5,"Allen, Lavoy",6 ft 9 in (2.06 m),260 lb (118 kg),1989-02-04,Temple,Indiana Pacers,Central,Eastern
G,0,"Brooks, Aaron",6 ft 0 in (1.83 m),161 lb (73 kg),1985-01-14,Oregon,Indiana Pacers,Central,Eastern
F,25,"Christmas, Rakeem",6 ft 9 in (2.06 m),250 lb (113 kg),1991-12-01,Syracuse,Indiana Pacers,Central,Eastern
G,11,"Ellis, Monta",6 ft 3 in (1.91 m),185 lb (84 kg),1985-10-26,Lanier HS (MS),Indiana Pacers,Central,Eastern
F,13,"George, Paul (C)",6 ft 9 in (2.06 m),220 lb (100 kg),1990-05-02,Fresno State,Indiana Pacers,Central,Eastern
C,7,"Jefferson, Al",6 ft 10 in (2.08 m),289 lb (131 kg),1985-01-04,Prentiss HS (MS),Indiana Pacers,Central,Eastern
G/F,0,"Miles, C. J.",6 ft 6 in (1.98 m),225 lb (102 kg),1987-03-18,Skyline HS (TX),Indiana Pacers,Central,Eastern
F,32,"Niang, Georges",6 ft 8 in (2.03 m),230 lb (104 kg),1993-06-17,Iowa State,Indiana Pacers,Central,Eastern
G/F,40,"Robinson, Glenn",6 ft 6 in (1.98 m),222 lb (101 kg),1994-01-08,Michigan,Indiana Pacers,Central,Eastern
F/C,1,"Séraphin, Kevin",6 ft 10 in (2.08 m),278 lb (126 kg),1989-12-07,France,Indiana Pacers,Central,Eastern
G,2,"Stuckey, Rodney",6 ft 5 in (1.96 m),205 lb (93 kg),1986-04-21,Eastern Washington,Indiana Pacers,Central,Eastern
G,44,"Teague, Jeff",6 ft 2 in (1.88 m),186 lb (84 kg),1988-06-10,Wake Forest,Indiana Pacers,Central,Eastern
C,33,"Turner, Myles",6 ft 11 in (2.11 m),243 lb (110 kg),1996-03-24,Texas,Indiana Pacers,Central,Eastern
G,3,"Young, Joseph",6 ft 2 in (1.88 m),180 lb (82 kg),1992-06-27,Oregon,Indiana Pacers,Central,Eastern
F,21,"Young, Thaddeus",6 ft 8 in (2.03 m),221 lb (100 kg),1988-06-21,Georgia Tech,Indiana Pacers,Central,Eastern
G/F,34,"Antetokounmpo, Giannis (C)",6 ft 11 in (2.11 m),222 lb (101 kg),1994-12-06,Greece,Milwaukee Bucks,Central,Eastern
F,9,"Beasley, Michael",6 ft 10 in (2.08 m),235 lb (107 kg),1989-01-09,Kansas State,Milwaukee Bucks,Central,Eastern
G,13,"Brogdon, Malcolm",6 ft 5 in (1.96 m),215 lb (98 kg),1992-12-11,Virginia,Milwaukee Bucks,Central,Eastern
G,8,"Dellavedova, Matthew",6 ft 4 in (1.93 m),198 lb (90 kg),1990-09-08,Saint Mary's,Milwaukee Bucks,Central,Eastern
C,0,"Hawes, Spencer",7 ft 1 in (2.16 m),245 lb (111 kg),1988-04-28,Washington,Milwaukee Bucks,Central,Eastern
F/C,31,"Henson, John",6 ft 11 in (2.11 m),229 lb (104 kg),1990-12-28,North Carolina,Milwaukee Bucks,Central,Eastern
C,55,"Hibbert, Roy",7 ft 2 in (2.18 m),270 lb (122 kg),1986-12-11,Georgetown,Milwaukee Bucks,Central,Eastern
F/C,7,"Maker, Thon",7 ft 1 in (2.16 m),223 lb (101 kg),1997-02-25,Orangeville Prep (CAN),Milwaukee Bucks,Central,Eastern
G/F,22,"Middleton, Khris",6 ft 8 in (2.03 m),234 lb (106 kg),1991-08-12,Texas A&M,Milwaukee Bucks,Central,Eastern
F/C,15,"Monroe, Greg",6 ft 11 in (2.11 m),265 lb (120 kg),1990-06-04,Georgetown,Milwaukee Bucks,Central,Eastern
F,12,"Parker, Jabari",6 ft 8 in (2.03 m),250 lb (113 kg),1995-03-15,Duke,Milwaukee Bucks,Central,Eastern
G/F,21,"Snell, Tony",6 ft 7 in (2.01 m),217 lb (98 kg),1991-11-10,New Mexico,Milwaukee Bucks,Central,Eastern
F,35,"Teletović, Mirza",6 ft 9 in (2.06 m),245 lb (111 kg),1985-09-17,Bosnia and Herzegovina,Milwaukee Bucks,Central,Eastern
G,3,"Terry, Jason",6 ft 2 in (1.88 m),185 lb (84 kg),1977-09-15,Arizona,Milwaukee Bucks,Central,Eastern
G,20,"Vaughn, Rashad",6 ft 6 in (1.98 m),202 lb (92 kg),1996-08-16,UNLV,Milwaukee Bucks,Central,Eastern
G/F,24,"Bazemore, Kent",6 ft 5 in (1.96 m),201 lb (91 kg),1989-07-01,Old Dominion,Atlanta Hawks,Southeast,Eastern
F,95,"Bembry, DeAndre'",6 ft 6 in (1.98 m),210 lb (95 kg),1994-07-04,Saint Joseph's,Atlanta Hawks,Southeast,Eastern
