Position,Number,Name,Height,Weight,DOB,From,Team,Division,Conference
G,5,"Delaney, Malcolm",6 ft 3 in (1.91 m),190 lb (86 kg),1989-03-11,Virginia Tech,Atlanta Hawks,Southeast,Eastern
G/F,34,"Dunleavy, Mike",6 ft 9 in (2.06 m),230 lb (104 kg),1980-09-25,Duke,Atlanta Hawks,Southeast,Eastern
G,10,"Hardaway, Tim",6 ft 6 in (1.98 m),205 lb (93 kg),1992-03-16,Michigan,Atlanta Hawks,Southeast,Eastern
C,8,"Howard, Dwight",6 ft 11 in (2.11 m),265 lb (120 kg),1985-12-08,SW Atlanta Academy (GA),Atlanta Hawks,Southeast,Eastern
F/C,43,"Humphries, Kris",6 ft 9 in (2.06 m),235 lb (107 kg),1985-02-06,Minnesota,Atlanta Hawks,Southeast,Eastern
F,4,"Millsap, Paul (C)",6 ft 8 in (2.03 m),246 lb (112 kg),1985-02-10,Louisiana Tech,Atlanta Hawks,Southeast,Eastern
F/C,31,"Muscala, Mike",6 ft 11 in (2.11 m),240 lb (109 kg),1991-07-01,Bucknell,Atlanta Hawks,Southeast,Eastern
G/F,13,"Patterson, Lamar",6 ft 5 in (1.96 m),225 lb (102 kg),1991-08-12,Pittsburgh,Atlanta Hawks,Southeast,Eastern
F,12,"Prince, Taurean",6 ft 8 in (2.03 m),220 lb (100 kg),1994-03-22,Baylor,Atlanta Hawks,Southeast,Eastern
G,17,"Schröder, Dennis (C)",6 ft 1 in (1.85 m),172 lb (78 kg),1993-09-15,Germany,Atlanta Hawks,Southeast,Eastern
F,32,"Scott, Mike",6 ft 8 in (2.03 m),237 lb (108 kg),1988-07-16,Virginia,Atlanta Hawks,Southeast,Eastern
G/F,25,"Sefolosha, Thabo",6 ft 7 in (2.01 m),220 lb (100 kg),1984-05-02,Switzerland,Atlanta Hawks,Southeast,Eastern
C,11,"Splitter, Tiago",6 ft 11 in (2.11 m),245 lb (111 kg),1985-01-01,Brazil,Atlanta Hawks,Southeast,Eastern
G/F,5,"Batum, Nicolas",6 ft 8 in (2.03 m),200 lb (91 kg),1988-12-14,France,Charlotte Hornets,Southeast,Eastern
G,21,"Belinelli, Marco",6 ft 5 in (1.96 m),210 lb (95 kg),1986-03-25,Italy,Charlotte Hornets,Southeast,Eastern
G/F,12,"Graham, Treveon",6 ft 6 in (1.98 m),226 lb (103 kg),1993-10-28,Virginia Commonwealth,Charlotte Hornets,Southeast,Eastern
F/C,44,"Kaminsky, Frank",7 ft 0 in (2.13 m),240 lb (109 kg),1993-04-04,Wisconsin,Charlotte Hornets,Southeast,Eastern
F,14,"Kidd-Gilchrist, Michael",6 ft 7 in (2.01 m),232 lb (105 kg),1993-09-26,Kentucky,Charlotte Hornets,Southeast,Eastern
G,3,"Lamb, Jeremy",6 ft 5 in (1.96 m),185 lb (84 kg),1992-05-30,Connecticut,Charlotte Hornets,Southeast,Eastern
G,30,"McCallum, Ray",6 ft 3 in (1.91 m),190 lb (86 kg),1991-06-12,Detroit,Charlotte Hornets,Southeast,Eastern
F/C,18,"Plumlee, Miles",6 ft 11 in (2.11 m),249 lb (113 kg),1988-09-01,Duke,Charlotte Hornets,Southeast,Eastern
G,22,"Roberts, Brian",6 ft 1 in (1.85 m),173 lb (78 kg),1985-12-03,Dayton,Charlotte Hornets,Southeast,Eastern
G,7,"Sessions, Ramon",6 ft 3 in (1.91 m),190 lb (86 kg),1986-04-11,Nevada,Charlotte Hornets,Southeast,Eastern
C,10,"Tobey, Mike",7 ft 0 in (2.13 m),253 lb (115 kg),1994-10-10,Virginia,Charlotte Hornets,Southeast,Eastern
G,15,"Walker, Kemba (C)",6 ft 1 in (1.85 m),184 lb (83 kg),1990-05-08,Connecticut,Charlotte Hornets,Southeast,Eastern
F,2,"Williams, Marvin",6 ft 9 in (2.06 m),237 lb (108 kg),1986-06-19,North Carolina,Charlotte Hornets,Southeast,Eastern
F,35,"Wood, Christian",6 ft 11 in (2.11 m),220 lb (100 kg),1995-09-27,UNLV,Charlotte Hornets,Southeast,Eastern
C,40,"Zeller, Cody",7 ft 0 in (2.13 m),240 lb (109 kg),1992-10-05,Indiana,Charlotte Hornets,Southeast,Eastern
F,5,"Babbitt, Luke",6 ft 9 in (2.06 m),225 lb (102 kg),1989-06-20,Nevada,Miami Heat,Southeast,Eastern
F/C,1,"Bosh, Chris",6 ft 11 in (2.11 m),235 lb (107 kg),1984-03-24,Georgia Tech,Miami Heat,Southeast,Eastern
G,7,"Dragić, Goran",6 ft 3 in (1.91 m),190 lb (86 kg),1986-05-06,Slovenia,Miami Heat,Southeast,Eastern
G,2,"Ellington, Wayne",6 ft 4 in (1.93 m),200 lb (91 kg),1987-11-29,North Carolina,Miami Heat,Southeast,Eastern
F/C,40,"Haslem, Udonis (C)",6 ft 8 in (2.03 m),235 lb (107 kg),1980-06-09,Florida,Miami Heat,Southeast,Eastern
F,16,"Johnson, James",6 ft 9 in (2.06 m),250 lb (113 kg),1987-02-20,Wake Forest,Miami Heat,Southeast,Eastern
G,8,"Johnson, Tyler",6 ft 4 in (1.93 m),186 lb (84 kg),1992-05-07,Fresno State,Miami Heat,Southeast,Eastern
G,17,"McGruder, Rodney",6 ft 4 in (1.93 m),205 lb (93 kg),1991-07-29,Kansas State,Miami Heat,Southeast,Eastern
F,4,"McRoberts, Josh",6 ft 10 in (2.08 m),240 lb (109 kg),1987-02-28,Duke,Miami Heat,Southeast,Eastern
F/C,35,"Reed, Willie",6 ft 10 in (2.08 m),220 lb (100 kg),1990-05-16,Saint Louis,Miami Heat,Southeast,Eastern
G,0,"Richardson, Josh",6 ft 6 in (1.98 m),200 lb (91 kg),1993-09-15,Tennessee,Miami Heat,Southeast,Eastern
G,11,"Waiters, Dion",6 ft 4 in (1.93 m),220 lb (100 kg),1991-12-10,Syracuse,Miami Heat,Southeast,Eastern
F,15,"White, Okaro",6 ft 8 in (2.03 m),215 lb (98 kg),1992-08-13,Florida State,Miami Heat,Southeast,Eastern
C,21,"Whiteside, Hassan (C)",7 ft 0 in (2.13 m),265 lb (120 kg),1989-06-13,Marshall,Miami Heat,Southeast,Eastern
G/F,20,"Winslow, Justise",6 ft 7 in (2.01 m),225 lb (102 kg),1996-03-26,Duke,Miami Heat,Southeast,Eastern
G,14,"Augustin, D. J.",6 ft 0 in (1.83 m),183 lb (83 kg),1987-11-10,Texas,Orlando Magic,Southeast,Eastern
C,11,"Biyombo, Bismack",6 ft 9 in (2.06 m),255 lb (116 kg),1992-08-28,DR Congo,Orlando Magic,Southeast,Eastern
G,10,"Fournier, Evan (C)",6 ft 7 in (2.01 m),205 lb (93 kg),1992-10-29,France,Orlando Magic,Southeast,Eastern
F,0,"Gordon, Aaron",6 ft 9 in (2.06 m),220 lb (100 kg),1995-09-16,Arizona,Orlando Magic,Southeast,Eastern
F,34,"Green, Jeff",6 ft 9 in (2.06 m),235 lb (107 kg),1986-08-28,Georgetown,Orlando Magic,Southeast,Eastern
G/F,8,"Hezonja, Mario",6 ft 8 in (2.03 m),218 lb (99 kg),1995-02-25,Croatia,Orlando Magic,Southeast,Eastern
F,7,"Ibaka, Serge",6 ft 10 in (2.08 m),235 lb (107 kg),1989-09-18,Spain,Orlando Magic,Southeast,Eastern
G,20,"Meeks, Jodie",6 ft 4 in (1.93 m),210 lb (95 kg),1987-08-21,Kentucky,Orlando Magic,Southeast,Eastern
G,4,"Payton, Elfrid",6 ft 4 in (1.93 m),185 lb (84 kg),1994-02-22,Louisiana-Lafayette,Orlando Magic,Southeast,Eastern
F,3,"Rudež, Damjan",6 ft 10 in (2.08 m),228 lb (103 kg),1986-06-17,Croatia,Orlando Magic,Southeast,Eastern
C,9,"Vučević, Nikola",7 ft 0 in (2.13 m),260 lb (118 kg),1990-10-24,Southern California,Orlando Magic,Southeast,Eastern
G,32,"Watson, C. J.",6 ft 2 in (1.88 m),175 lb (79 kg),1984-04-17,Tennessee,Orlando Magic,Southeast,Eastern
G,23,"Wilcox, C. J.",6 ft 5 in (1.96 m),195 lb (88 kg),1990-12-30,Washington,Orlando Magic,Southeast,Eastern
C,33,"Zimmerman, Stephen (DL)",7 ft 0 in (2.13 m),240 lb (109 kg),1996-09-09,UNLV,Orlando Magic,Southeast,Eastern
G,3,"Beal, Bradley (C)",6 ft 5 in (1.96 m),207 lb (94 kg),1993-06-28,Florida,Washington Wizards,Southeast,Eastern
G,33,"Burke, Trey",6 ft 1 in (1.85 m),191 lb (87 kg),1992-11-12,Michigan,Washington Wizards,Southeast,Eastern
C,13,"Gortat, Marcin",6 ft 11 in (2.11 m),240 lb (109 kg),1984-02-17,Poland,Washington Wizards,Southeast,Eastern
G/F,4,"House, Danuel",6 ft 7 in (2.01 m),215 lb (98 kg),1993-06-07,Texas A&M,Washington Wizards,Southeast,Eastern
C,28,"Mahinmi, Ian",6 ft 11 in (2.11 m),262 lb (119 kg),1986-11-05,France,Washington Wizards,Southeast,Eastern
G/F,9,"McClellan, Sheldon",6 ft 6 in (1.98 m),200 lb (91 kg),1992-12-21,Miami (FL),Washington Wizards,Southeast,Eastern
F,5,"Morris, Markieff",6 ft 10 in (2.08 m),245 lb (111 kg),1989-09-02,Kansas,Washington Wizards,Southeast,Eastern
F,44,"Nicholson, Andrew",6 ft 9 in (2.06 m),250 lb (113 kg),1989-12-08,St. Bonaventure,Washington Wizards,Southeast,Eastern
F,32,"Ochefu, Daniel",6 ft 11 in (2.11 m),245 lb (111 kg),1993-12-15,Villanova,Washington Wizards,Southeast,Eastern
G/F,12,"Oubre, Kelly",6 ft 7 in (2.01 m),205 lb (93 kg),1995-12-09,Kansas,Washington Wizards,Southeast,Eastern
F,22,"Porter, Otto",6 ft 8 in (2.03 m),198 lb (90 kg),1993-06-03,Georgetown,Washington Wizards,Southeast,Eastern
G,31,"Satoranský, Tomáš",6 ft 7 in (2.01 m),210 lb (95 kg),1991-10-30,Czech Republic,Washington Wizards,Southeast,Eastern
F/C,14,"Smith, Jason",7 ft 0 in (2.13 m),240 lb (109 kg),1986-03-02,Colorado State,Washington Wizards,Southeast,Eastern
G,15,"Thornton, Marcus",6 ft 4 in (1.93 m),205 lb (93 kg),1987-06-05,LSU,Washington Wizards,Southeast,Eastern
G,2,"Wall, John (C)",6 ft 4 in (1.93 m),210 lb (95 kg),1990-09-06,Kentucky,Washington Wizards,Southeast,Eastern
G/F,1,"Anderson, Justin",6 ft 6 in (1.98 m),228 lb (103 kg),1993-11-19,Virginia,Dallas Mavericks,Southwest,Western
G,5,"Barea, José Juan",6 ft 0 in (1.83 m),185 lb (84 kg),1984-06-26,Northeastern,Dallas Mavericks,Southwest,Western
F,40,"Barnes, Harrison",6 ft 8 in (2.03 m),225 lb (102 kg),1992-05-30,North Carolina,Dallas Mavericks,Southwest,Western
C,6,"Bogut, Andrew",7 ft 0 in (2.13 m),260 lb (118 kg),1984-12-28,Utah,Dallas Mavericks,Southwest,Western
G/F,9,"Brussino, Nicolás",6 ft 8 in (2.03 m),215 lb (98 kg),1993-03-02,Argentina,Dallas Mavericks,Southwest,Western
G,30,"Curry, Seth",6 ft 2 in (1.88 m),185 lb (84 kg),1990-08-23,Duke,Dallas Mavericks,Southwest,Western
G,11,"Ferrell, Yogi",6 ft 0 in (1.83 m),178 lb (81 kg),1993-05-09,Indiana,Dallas Mavericks,Southwest,Western
F,10,"Finney-Smith, Dorian",6 ft 8 in (2.03 m),220 lb (100 kg),1993-05-04,Florida,Dallas Mavericks,Southwest,Western
C,20,"Hammons, A. J. (DL)",7 ft 0 in (2.13 m),260 lb (118 kg),1992-08-27,Purdue,Dallas Mavericks,Southwest,Western
G,34,"Harris, Devin",6 ft 3 in (1.91 m),185 lb (84 kg),1983-02-27,Wisconsin,Dallas Mavericks,Southwest,Western
G,23,"Matthews, Wesley",6 ft 5 in (1.96 m),220 lb (100 kg),1986-10-14,Marquette,Dallas Mavericks,Southwest,Western
C,50,"Mejri, Salah",7 ft 2 in (2.18 m),245 lb (111 kg),1986-06-15,Tunisia,Dallas Mavericks,Southwest,Western
F,41,"Nowitzki, Dirk (C)",7 ft 0 in (2.13 m),245 lb (111 kg),1978-06-19,Germany,Dallas Mavericks,Southwest,Western
F/C,7,"Powell, Dwight",6 ft 11 in (2.11 m),240 lb (109 kg),1991-07-20,Stanford,Dallas Mavericks,Southwest,Western
G,8,"Williams, Deron",6 ft 3 in (1.91 m),200 lb (91 kg),1984-06-26,Illinois,Dallas Mavericks,Southwest,Western
F,3,"Anderson, Ryan",6 ft 10 in (2.08 m),240 lb (109 kg),1988-05-06,UC Berkeley,Houston Rockets,Southwest,Western
F,1,"Ariza, Trevor",6 ft 8 in (2.03 m),215 lb (98 kg),1985-06-30,UCLA,Houston Rockets,Southwest,Western
G,2,"Beverley, Patrick",6 ft 1 in (1.85 m),185 lb (84 kg),1988-07-12,Arkansas,Houston Rockets,Southwest,Western
G/F,33,"Brewer, Corey",6 ft 9 in (2.06 m),186 lb (84 kg),1986-03-05,Florida,Houston Rockets,Southwest,Western
G,8,"Brown, Bobby",6 ft 2 in (1.88 m),175 lb (79 kg),1984-09-24,Cal State Fullerton,Houston Rockets,Southwest,Western
F/C,15,"Capela, Clint",6 ft 10 in (2.08 m),240 lb (109 kg),1994-05-18,INSEP (FRA),Houston Rockets,Southwest,Western
F,7,"Dekker, Sam",6 ft 9 in (2.06 m),230 lb (104 kg),1994-05-06,Wisconsin,Houston Rockets,Southwest,Western
G,6,"Ennis, Tyler",6 ft 3 in (1.91 m),194 lb (88 kg),1994-08-24,Syracuse,Houston Rockets,Southwest,Western
G,10,"Gordon, Eric",6 ft 4 in (1.93 m),215 lb (98 kg),1988-12-25,Indiana,Houston Rockets,Southwest,Western
G,13,"Harden, James (C)",6 ft 5 in (1.96 m),220 lb (100 kg),1989-08-26,Arizona State,Houston Rockets,Southwest,Western
F,5,"Harrell, Montrezl",6 ft 8 in (2.03 m),240 lb (109 kg),1994-01-26,Louisville,Houston Rockets,Southwest,Western
G/F,32,"McDaniels, K. J.",6 ft 6 in (1.98 m),205 lb (93 kg),1993-02-09,Clemson,Houston Rockets,Southwest,Western
F/C,42,Nenê,6 ft 11 in (2.11 m),250 lb (113 kg),1982-09-13,Brazil,Houston Rockets,Southwest,Western
F/C,21,"Onuaku, Chinanu (DL)",6 ft 10 in (2.08 m),245 lb (111 kg),1996-11-01,Louisville,Houston Rockets,Southwest,Western
F,30,"Wiltjer, Kyle (DL)",6 ft 10 in (2.08 m),240 lb (109 kg),1992-10-20,Gonzaga,Houston Rockets,Southwest,Western
G,9,"Allen, Tony",6 ft 4 in (1.93 m),213 lb (97 kg),1982-01-11,Oklahoma State,Memphis Grizzlies,Southwest,Western
G,4,"Baldwin, Wade (DL)",6 ft 4 in (1.93 m),202 lb (92 kg),1996-03-29,Vanderbilt,Memphis Grizzlies,Southwest,Western
G/F,15,"Carter, Vince",6 ft 6 in (1.98 m),220 lb (100 kg),1977-01-26,North Carolina,Memphis Grizzlies,Southwest,Western
G,11,"Conley, Mike (C)",6 ft 1 in (1.85 m),175 lb (79 kg),1987-10-11,Ohio State,Memphis Grizzlies,Southwest,Western
G,30,"Daniels, Troy",6 ft 4 in (1.93 m),205 lb (93 kg),1991-07-15,Virginia Commonwealth,Memphis Grizzlies,Southwest,Western
G,16,"Douglas, Toney",6 ft 2 in (1.88 m),195 lb (88 kg),1986-03-16,Florida State,Memphis Grizzlies,Southwest,Western
F/C,23,"Davis, Deyonta",6 ft 10 in (2.08 m),240 lb (109 kg),1996-12-02,Michigan State,Memphis Grizzlies,Southwest,Western
F,8,"Ennis, James",6 ft 7 in (2.01 m),210 lb (95 kg),1990-07-01,Long Beach State,Memphis Grizzlies,Southwest,Western
C,33,"Gasol, Marc (C)",7 ft 1 in (2.16 m),255 lb (116 kg),1985-01-29,Lausanne CS (TN),Memphis Grizzlies,Southwest,Western
F,0,"Green, JaMychal",6 ft 9 in (2.06 m),227 lb (103 kg),1990-06-21,Alabama,Memphis Grizzlies,Southwest,Western
G,5,"Harrison, Andrew",6 ft 6 in (1.98 m),213 lb (97 kg),1994-10-28,Kentucky,Memphis Grizzlies,Southwest,Western
F,1,"Martin, Jarell (DL)",6 ft 10 in (2.08 m),239 lb (108 kg),1994-05-24,LSU,Memphis Grizzlies,Southwest,Western
F,25,"Parsons, Chandler",6 ft 10 in (2.08 m),230 lb (104 kg),1988-10-25,Florida,Memphis Grizzlies,Southwest,Western
F,50,"Randolph, Zach",6 ft 9 in (2.06 m),260 lb (118 kg),1981-07-16,Michigan State,Memphis Grizzlies,Southwest,Western
F/C,34,"Wright, Brandan",6 ft 10 in (2.08 m),210 lb (95 kg),1987-10-05,North Carolina,Memphis Grizzlies,Southwest,Western
C,42,"Ajinça, Alexis",7 ft 2 in (2.18 m),248 lb (112 kg),1988-05-06,INSEP (FRA),New Orleans Pelicans,Southwest,Western
C,3,"Aşık, Ömer",7 ft 0 in (2.13 m),255 lb (116 kg),1986-07-04,Turkey,New Orleans Pelicans,Southwest,Western
F,33,"Cunningham, Dante",6 ft 8 in (2.03 m),230 lb (104 kg),1987-04-22,Villanova,New Orleans Pelicans,Southwest,Western
F/C,23,"Davis, Anthony (C)",6 ft 11 in (2.11 m),253 lb (115 kg),1993-03-11,Kentucky,New Orleans Pelicans,Southwest,Western
F/C,13,"Diallo, Cheick (DL)",6 ft 9 in (2.06 m),220 lb (100 kg),1996-09-13,Kansas,New Orleans Pelicans,Southwest,Western
G/F,1,"Evans, Tyreke",6 ft 6 in (1.98 m),220 lb (100 kg),1989-09-19,Memphis,New Orleans Pelicans,Southwest,Western
G,2,"Frazier, Tim",6 ft 1 in (1.85 m),170 lb (77 kg),1990-11-01,Penn State,New Orleans Pelicans,Southwest,Western
G,10,"Galloway, Langston",6 ft 2 in (1.88 m),200 lb (91 kg),1991-12-09,Saint Joseph's,New Orleans Pelicans,Southwest,Western
G,24,"Hield, Buddy",6 ft 4 in (1.93 m),214 lb (97 kg),1993-12-17,Oklahoma,New Orleans Pelicans,Southwest,Western
F,44,"Hill, Solomon",6 ft 7 in (2.01 m),225 lb (102 kg),1991-03-18,Arizona,New Orleans Pelicans,Southwest,Western
G,11,"Holiday, Jrue",6 ft 4 in (1.93 m),205 lb (93 kg),1990-06-12,UCLA,New Orleans Pelicans,Southwest,Western
F,9,"Jones, Terrence",6 ft 9 in (2.06 m),255 lb (116 kg),1992-01-09,Kentucky,New Orleans Pelicans,Southwest,Western
G,55,"Moore, E'Twaun",6 ft 4 in (1.93 m),191 lb (87 kg),1989-02-25,Purdue,New Orleans Pelicans,Southwest,Western
F/C,12,"Motiejūnas, Donatas",7 ft 0 in (2.13 m),222 lb (101 kg),1990-09-20,Lithuania,New Orleans Pelicans,Southwest,Western
G/F,20,"Pondexter, Quincy",6 ft 7 in (2.01 m),225 lb (102 kg),1988-03-10,Washington,New Orleans Pelicans,Southwest,Western
F/C,12,"Aldridge, LaMarcus (C)",6 ft 11 in (2.11 m),260 lb (118 kg),1985-07-19,Texas,San Antonio Spurs,Southwest,Western
F,1,"Anderson, Kyle",6 ft 9 in (2.06 m),230 lb (104 kg),1993-09-20,UCLA,San Antonio Spurs,Southwest,Western
C,30,"Anthony, Joel",6 ft 9 in (2.06 m),245 lb (111 kg),1982-08-09,UNLV,San Antonio Spurs,Southwest,Western
F,42,"Bertāns, Dāvis",6 ft 10 in (2.08 m),210 lb (95 kg),1992-11-12,Latvia,San Antonio Spurs,Southwest,Western
C,3,"Dedmon, Dewayne",7 ft 0 in (2.13 m),245 lb (111 kg),1989-08-12,Southern California,San Antonio Spurs,Southwest,Western
G,11,"Forbes, Bryn",6 ft 3 in (1.91 m),190 lb (86 kg),1993-07-23,Michigan State,San Antonio Spurs,Southwest,Western
F/C,16,"Gasol, Pau",7 ft 0 in (2.13 m),250 lb (113 kg),1980-07-06,Spain,San Antonio Spurs,Southwest,Western
G,20,"Ginóbili, Manu (C)",6 ft 6 in (1.98 m),205 lb (93 kg),1977-07-28,Argentina,San Antonio Spurs,Southwest,Western
G,14,"Green, Danny",6 ft 6 in (1.98 m),215 lb (98 kg),1987-06-22,North Carolina,San Antonio Spurs,Southwest,Western
F/C,10,"Lee, David",6 ft 9 in (2.06 m),245 lb (111 kg),1983-04-29,Florida,San Antonio Spurs,Southwest,Western
F,2,"Leonard, Kawhi (C)",6 ft 7 in (2.01 m),230 lb (104 kg),1991-06-29,San Diego State,San Antonio Spurs,Southwest,Western
G,8,"Mills, Patty",6 ft 0 in (1.83 m),185 lb (84 kg),1988-08-11,Saint Mary's,San Antonio Spurs,Southwest,Western
G,5,"Murray, Dejounte",6 ft 5 in (1.96 m),170 lb (77 kg),1996-09-19,Washington,San Antonio Spurs,Southwest,Western
G,9,"Parker, Tony (C)",6 ft 2 in (1.88 m),185 lb (84 kg),1982-05-17,INSEP (FRA),San Antonio Spurs,Southwest,Western
G/F,17,"Simmons, Jonathon",6 ft 6 in (1.98 m),195 lb (88 kg),1989-09-14,Houston,San Antonio Spurs,Southwest,Western
F,0,"Arthur, Darrell",6 ft 9 in (2.06 m),235 lb (107 kg),1988-03-25,Kansas,Denver Nuggets,Northwest,Western
